,0
0,0
1,8
2,8
3,0
4,8
5,0
6,8
7,8
8,8
9,0
10,0
11,8
12,8
13,8
14,8
15,0
16,8
17,0
18,0
19,8
20,0
21,0
22,0
23,8
24,8
25,0
26,0
27,8
28,8
29,0
30,0
31,7
32,8
33,0
34,8
35,7
36,0
37,0
38,8
39,0
40,8
41,7
42,8
43,0
44,8
45,0
46,8
47,8
48,0
49,8
50,0
51,0
52,0
53,8
54,0
55,0
56,0
57,8
58,8
59,8
60,8
61,0
62,8
63,7
64,8
65,8
66,0
67,8
68,0
69,0
70,8
71,8
72,8
73,8
74,8
75,8
76,0
77,0
78,8
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,8
87,8
88,8
89,0
90,8
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,8
99,8
100,0
101,0
102,0
103,8
104,0
105,0
106,0
107,0
108,0
109,0
110,8
111,0
112,8
113,0
114,0
115,0
116,0
117,0
118,0
119,8
120,8
121,0
122,0
123,8
124,8
125,0
126,0
127,0
128,0
129,8
130,0
131,0
132,0
133,8
134,8
135,0
136,0
137,8
138,0
139,0
140,8
141,0
142,0
143,8
144,8
145,8
146,0
147,0
148,8
149,0
150,0
151,0
152,8
153,0
154,0
155,8
156,0
157,0
158,0
159,8
160,0
161,7
162,0
163,0
164,0
165,0
166,8
167,0
168,0
169,8
170,7
171,8
172,0
173,7
174,0
175,0
176,8
